Ticker,Security Description 1,Shares,Cost,Market Value,GICS Sector,P/L,Reporting Account Number,Reporting Account Name,Source Account Number,Source Account Name,As Of Date,Security Description 2,Asset Code,Asset Category,Sector Name,Position Type,Acct Base Currency Code,Acct Base Currency Name,Local Currency Code,Local Currency Name,Country Code,Country Name,Local Cost,Base Price,Local Price,Base Net Income Receivable,Local Net Income Receivable,Local Market Value,Base Notional Cost,Local Notional Cost,Base Notional Value,Local Notional Value,Coupon Rate,Maturity Date,Local Unrealized Gain/Loss,Base Unrealized Currency Gain/Loss,Base Net Unrealized Gain/Loss,Gen Ledger Acct,Pay Date,Report Run Date,Percent Of Total,Link Ref,Issuer ID,Counterparty Name,Exchange Rate,Original Strike Price,Current Strike Price,Mellon Security ID,CINS,CUSIP,ISIN,SEDOL,Valoren,Sicovam,WPK,Quick,Underlying Sec ID,Loan ID,Manager,Counterparty,Derivative Type,Acctg Status Update (EST),Underlying Security Description 1,Underlying Security Description 2,Underlying Security CUSIP,Underlying Security CINS,Underlying Security ISIN,Underlying Security SEDOL,Underlying Security TICKER,Underlying Security SICOVAM,Underlying Security VALOREN,Underlying Security WPK,Underlying Security QUICK,Underlying Security Loan ID,Underlying Security MANAGER,Accounting Status,Primary GSP Account,Extended GSP Account Number
CNQ,CANADIAN NATURAL RESOURCES LTD,100,"2,945",3188,Energy,243,G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E073,Stocks,OIL & GAS,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NC,CANADA,"2,945",32,32,19,19,"3,188",0,0,0,0,0,,243,0,243,"999,999","41,274","41,279",1,,"136,385",,1,0,0,"136,385,101",,"136,385,101",CA1363851017,"2,125,202",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
COF,CAPITAL ONE FINANCIAL CORP,100,"5,053",8724,Financials,"3,671",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E021,Stocks,BANKS,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"5,053",87,87,0,0,"8,724",0,0,0,0,0,,"3,671",0,"3,671","999,999",,"41,279",1,,14040H,,1,0,0,14040H105,,14040H105,US14040H1059,"2,654,461",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
DFS,DISCOVER FINANCIAL SERVICES,100,"3,866",7209,Financials,"3,343",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E023,Stocks,DIVERSIFIED FINANCIAL SERVICES,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"3,866",72,72,0,0,"7,209",0,0,0,0,0,,"3,343",0,"3,343","999,999",,"41,279",1,,"254,709",,1,0,0,"254,709,108",,"254,709,108",US2547091080,B1YLC43,,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
DGX,QUEST DIAGNOSTICS INC,120,"5,962",11028,Health Care,"5,066",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E033,Stocks,HEALTH CARE SERVICES,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"5,962",92,92,0,0,"11,028",0,0,0,0,0,,"5,066",0,"5,066","999,999",,"41,279",2,,74834L,,1,0,0,74834L100,,74834L100,US74834L1008,"2,702,791",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
DOW,DOW CHEMICAL CO/THE,66,"3,911",3777,Materials,-134,G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E125,Stocks,CHEMICALS,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"3,911",57,57,30,30,"3,777",0,0,0,0,0,,-134,0,-134,"999,999","41,303","41,279",1,,"260,543",,1,0,0,"260,543,103",,"260,543,103",US2605431038,"2,278,719",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
DUK,DUKE ENERGY CORP,50,"3,182",3881,Utilities,699,G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E121,Stocks,ELECTRIC,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"3,182",78,78,0,0,"3,881",0,0,0,0,0,,699,0,699,"999,999",,"41,279",1,,26441C,,1,0,0,26441C204,,26441C204,US26441C2044,B7VD3F2,,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
ESRX,EXPRESS SCRIPTS HOLDING CO,100,"5,569",6879,Health Care,"1,310",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E032,Stocks,PHARMACEUTICALS,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"5,569",69,69,0,0,"6,879",0,0,0,0,0,,"1,310",0,"1,310","999,999",,"41,279",1,,30219G,,1,0,0,30219G108,,30219G108,US30219G1085,B7QQYV9,,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
FB,FACEBOOK INC,50,"4,138",5753,Information Technology,"1,615",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E079,Stocks,INTERNET,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"4,138",115,115,0,0,"5,753",0,0,0,0,0,,"1,615",0,"1,615","999,999",,"41,279",1,,30303M,,1,0,0,30303M102,,30303M102,US30303M1027,B7TL820,,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
FIS,FIDELITY NATIONAL INFORMATION,50,"1,190",3782,Information Technology,"2,592",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E092,Stocks,SOFTWARE,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"1,190",76,76,0,0,"3,782",0,0,0,0,0,,"2,592",0,"2,592","999,999",,"41,279",1,,31620M,,1,0,0,31620M106,,31620M106,US31620M1062,"2,769,796",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
GD,GENERAL DYNAMICS CORP,50,"3,829",8633,Industrials,"4,804",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E117,Stocks,AEROSPACE/DEFENSE,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"3,829",173,173,0,0,"8,633",0,0,0,0,0,,"4,804",0,"4,804","999,999",,"41,279",1,,"369,550",,1,0,0,"369,550,108",,"369,550,108",US3695501086,"2,365,161",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
GIS,GENERAL MILLS INC,140,"4,980",8648,Consumer Staples,"3,668",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E056,Stocks,FOOD PROCESSING,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"4,980",62,62,0,0,"8,648",0,0,0,0,0,,"3,668",0,"3,668","999,999",,"41,279",1,,"370,334",,1,0,0,"370,334,104",,"370,334,104",US3703341046,"2,367,026",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
GOOG,ALPHABET INC-CL C,10,"3,043",7718,Information Technology,"4,675",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E079,Stocks,INTERNET,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"3,043",772,772,0,0,"7,718",0,0,0,0,0,,"4,675",0,"4,675","999,999",,"41,279",1,,02079K,,1,0,0,02079K107,,02079K107,US02079K1079,BYY88Y7,,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
GOOGL,ALPHABET INC-CL A,10,"3,058",7925,Information Technology,"4,867",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E079,Stocks,INTERNET,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"3,058",792,792,0,0,"7,925",0,0,0,0,0,,"4,867",0,"4,867","999,999",,"41,279",1,,02079K,,1,0,0,02079K305,,02079K305,US02079K3059,BYVY8G0,,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
HAS,HASBRO INC,200,"6,033",15558,Consumer Discretionary,"9,525",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E038,Stocks,TOYS/GAMES/HOBBIES,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"6,033",78,78,0,0,"15,558",0,0,0,0,0,,"9,525",0,"9,525","999,999",,"41,279",3,,"418,056",,1,0,0,"418,056,107",,"418,056,107",US4180561072,"2,414,580",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
HBHC,HANCOCK HOLDING CO,100,"2,964",4310,Financials,"1,346",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E021,Stocks,BANKS,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"2,964",43,43,0,0,"4,310",0,0,0,0,0,,"1,346",0,"1,346","999,999",,"41,279",1,,"410,120",,1,0,0,"410,120,109",,"410,120,109",US4101201097,"2,415,497",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
ICE,INTERCONTINENTAL EXCHANGE INC,250,"5,359",14105,Financials,"8,746",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E023,Stocks,DIVERSIFIED FINANCIAL SERVICES,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"5,359",56,56,0,0,"14,105",0,0,0,0,0,,"8,746",0,"8,746","999,999",,"41,279",2,,45866F,,1,0,0,45866F104,,45866F104,US45866F1049,BFSSDS9,,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
INTC,INTEL CORP,315,"6,123",11425,Information Technology,"5,302",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E094,Stocks,SEMICONDUCTORS,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"6,123",36,36,0,0,"11,425",0,0,0,0,0,,"5,302",0,"5,302","999,999",,"41,279",2,,"458,140",,1,0,0,"458,140,100",,"458,140,100",US4581401001,"2,463,247",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
KMI,KINDER MORGAN INC/DE,47,"1,945",973,Energy,-971,G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E063,Stocks,PIPELINES,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"1,945",21,21,0,0,973,0,0,0,0,0,,-971,0,-971,"999,999",,"41,279",0,,49456B,,1,0,0,49456B101,,49456B101,US49456B1017,B3NQ4P8,,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
LCI,LANNETT CO INC,130,"5,648",2867,Health Care,"-2,782",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E032,Stocks,PHARMACEUTICALS,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"5,648",22,22,0,0,"2,867",0,0,0,0,0,,"-2,782",0,"-2,782","999,999",,"41,279",0,,"516,012",,1,0,0,"516,012,101",,"516,012,101",US5160121019,"2,447,694",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
LLL,L-3 COMMUNICATIONS HOLDINGS IN,40,"2,284",6084,Industrials,"3,800",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E117,Stocks,AEROSPACE/DEFENSE,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"2,284",152,152,0,0,"6,084",0,0,0,0,0,,"3,800",0,"3,800","999,999",,"41,279",1,,"502,424",,1,0,0,"502,424,104",,"502,424,104",US5024241045,"2,247,366",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
LNT,ALLIANT ENERGY CORP,240,"4,679",9094,Utilities,"4,415",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E121,Stocks,ELECTRIC,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"4,679",38,38,0,0,"9,094",0,0,0,0,0,,"4,415",0,"4,415","999,999",,"41,279",2,,"18,802",,1,0,0,"18,802,108",,"18,802,108",US0188021085,"2,973,821",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
MDCO,MEDICINES CO/THE,170,"3,056",5770,Health Care,"2,714",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E031,Stocks,BIOTECHNOLOGY,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"3,056",34,34,0,0,"5,770",0,0,0,0,0,,"2,714",0,"2,714","999,999",,"41,279",1,,"584,688",,1,0,0,"584,688,105",,"584,688,105",US5846881051,"2,616,773",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
MMM,3M CO,100,"6,402",17857,Industrials,"11,455",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E116,Stocks,MISC MANUFACTURER,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"6,402",179,179,0,0,"17,857",0,0,0,0,0,,"11,455",0,"11,455","999,999",,"41,279",3,,88579Y,,1,0,0,88579Y101,,88579Y101,US88579Y1010,"2,595,708",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
NDAQ,NASDAQ INC,350,"10,058",23492,Financials,"13,434",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E023,Stocks,DIVERSIFIED FINANCIAL SERVICES,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"10,058",67,67,0,0,"23,492",0,0,0,0,0,,"13,434",0,"13,434","999,999",,"41,279",4,,"631,103",,1,0,0,"631,103,108",,"631,103,108",US6311031081,"2,965,107",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
ORCL,ORACLE CORP,100,"3,377",3845,Information Technology,468,G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E092,Stocks,SOFTWARE,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"3,377",38,38,0,0,"3,845",0,0,0,0,0,,468,0,468,"999,999",,"41,279",1,,68389X,,1,0,0,68389X105,,68389X105,US68389X1054,"2,661,568",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
PFE,PFIZER INC,150,"1,889",4872,Health Care,"2,983",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E032,Stocks,PHARMACEUTICALS,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"1,889",32,32,0,0,"4,872",0,0,0,0,0,,"2,983",0,"2,983","999,999",,"41,279",1,,"717,081",,1,0,0,"717,081,103",,"717,081,103",US7170811035,"2,684,703",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
PG,PROCTER & GAMBLE CO/THE,90,"5,263",7567,Consumer Staples,"2,305",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E034,Stocks,COSMETICS/PERSONAL CARE,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"5,263",84,84,0,0,"7,567",0,0,0,0,0,,"2,305",0,"2,305","999,999",,"41,279",1,,"742,718",,1,0,0,"742,718,109",,"742,718,109",US7427181091,"2,704,407",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
PPL,PPL CORP,100,"2,840",3405,Utilities,565,G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E121,Stocks,ELECTRIC,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"2,840",34,34,38,38,"3,405",0,0,0,0,0,,565,0,565,"999,999","41,276","41,279",1,,69351T,,1,0,0,69351T106,,69351T106,US69351T1060,"2,680,905",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
PREKF,PRAIRIESKY ROYALTY LTD,2,39,48,Energy,8,G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E073,Stocks,OIL & GAS,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NC,CANADA,39,24,24,0,0,48,0,0,0,0,0,,8,0,8,"999,999","41,289","41,279",0,,"739,721",,1,0,0,"739,721,108",,"739,721,108",CA7397211086,BN7Y124,,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
PSX,PHILLIPS 66,50,"3,997",4321,Energy,324,G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E073,Stocks,OIL & GAS,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"3,997",86,86,0,0,"4,321",0,0,0,0,0,,324,0,324,"999,999",,"41,279",1,,"718,546",,1,0,0,"718,546,104",,"718,546,104",US7185461040,B78C4Y8,,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
RAI,REYNOLDS AMERICAN INC,100,"4,693",5604,Consumer Staples,911,G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E053,Stocks,AGRICULTURE,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"4,693",56,56,46,46,"5,604",0,0,0,0,0,,911,0,911,"999,999","41,276","41,279",1,,"761,713",,1,0,0,"761,713,106",,"761,713,106",US7617131062,"2,429,090",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
RGA,REINSURANCE GROUP OF AMERICA I,180,"9,955",22649,Financials,"12,694",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E026,Stocks,INSURANCE,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"9,955",126,126,0,0,"22,649",0,0,0,0,0,,"12,694",0,"12,694","999,999",,"41,279",4,,"759,351",,1,0,0,"759,351,604",,"759,351,604",US7593516047,"2,731,193",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
SNY,SANOFI,100,"3,790",4044,Health Care,254,G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",ADR,E032,Stocks,PHARMACEUTICALS,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,EF,FRANCE,"3,790",40,40,0,0,"4,044",0,0,0,0,0,,254,0,254,"999,999",,"41,279",1,,80105N,,1,0,0,80105N105,,80105N105,US80105N1054,"2,964,557",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
T,AT&T INC,37,"1,266",1574,Telecommunication Services,307,G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E078,Stocks,TELECOMMUNICATIONS,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"1,266",43,43,0,0,"1,574",0,0,0,0,0,,307,0,307,"999,999",,"41,279",0,,00206R,,1,0,0,00206R102,,00206R102,US00206R1023,"2,831,811",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
